tactic_id,tactic_name,technique_id,technique_name
AML.TA0002,Reconnaissance,AML.T0006,Active Scanning
AML.TA0002,Reconnaissance,AML.T0064,Gather RAG-Indexed Targets
AML.TA0002,Reconnaissance,AML.T0087,Gather Victim Identity Information
AML.TA0002,Reconnaissance,AML.T0004,Search Application Repositories
AML.TA0002,Reconnaissance,AML.T0001,Search Open AI Vulnerability Analysis
AML.TA0002,Reconnaissance,AML.T0000,Search Open Technical Databases
AML.TA0002,Reconnaissance,AML.T0000.000,Journals and Conference Proceedings
AML.TA0002,Reconnaissance,AML.T0000.001,Pre-Print Repositories
AML.TA0002,Reconnaissance,AML.T0000.002,Technical Blogs
AML.TA0002,Reconnaissance,AML.T0095,Search Open Websites/Domains
AML.TA0002,Reconnaissance,AML.T0003,Search Victim-Owned Websites
AML.TA0003,Resource Development,AML.T0008,Acquire Infrastructure
AML.TA0003,Resource Development,AML.T0008.000,AI Development Workspaces
AML.TA0003,Resource Development,AML.T0008.001,Consumer Hardware
AML.TA0003,Resource Development,AML.T0002,Acquire Public AI Artifacts
AML.TA0003,Resource Development,AML.T0002.000,Datasets
AML.TA0003,Resource Development,AML.T0002.001,Models
AML.TA0003,Resource Development,AML.T0017,Develop Capabilities
AML.TA0003,Resource Development,AML.T0017.000,Adversarial AI Attacks
AML.TA0003,Resource Development,AML.T0021,Establish Accounts
AML.TA0003,Resource Development,AML.T0065,LLM Prompt Crafting
AML.TA0003,Resource Development,AML.T0016,Obtain Capabilities
AML.TA0003,Resource Development,AML.T0016.000,Adversarial AI Attack Implementations
AML.TA0003,Resource Development,AML.T0016.001,Software Tools
AML.TA0003,Resource Development,AML.T0020,Poison Training Data
AML.TA0003,Resource Development,AML.T0060,Publish Hallucinated Entities
AML.TA0003,Resource Development,AML.T0104,Publish Poisoned AI Agent Tool
AML.TA0003,Resource Development,AML.T0011.003,Malicious Link
AML.TA0003,Resource Development,AML.T0011.002,Poisoned AI Agent Tool
AML.TA0003,Resource Development,AML.T0019,Publish Poisoned Datasets
AML.TA0003,Resource Development,AML.T0058,Publish Poisoned Models
AML.TA0003,Resource Development,AML.T0066,Retrieval Content Crafting
AML.TA0003,Resource Development,AML.T0079,Stage Capabilities
AML.TA0004,Initial Access,AML.T0010,AI Supply Chain Compromise
AML.TA0004,Initial Access,AML.T0010.001,AI Software
AML.TA0004,Initial Access,AML.T0010.002,Data
AML.TA0004,Initial Access,AML.T0010.000,Hardware
AML.TA0004,Initial Access,AML.T0010.003,Model
AML.TA0004,Initial Access,AML.T0078,Drive-by Compromise
AML.TA0004,Initial Access,AML.T0015,Evade AI Model
AML.TA0004,Initial Access,AML.T0049,Exploit Public-Facing Application
AML.TA0004,Initial Access,AML.T0052,Phishing
AML.TA0004,Initial Access,AML.T0052.000,Spearphishing via Social Engineering LLM
AML.TA0004,Initial Access,AML.T0093,Prompt Infiltration via Public-Facing Application
AML.TA0004,Initial Access,AML.T0012,Valid Accounts
AML.TA0000,AI Model Access,AML.T0040,AI Model Inference API Access
AML.TA0000,AI Model Access,AML.T0100,AI Agent Clickbait
AML.TA0000,AI Model Access,AML.T0047,AI-Enabled Product or Service
AML.TA0000,AI Model Access,AML.T0053,AI Agent Tool Invocation
AML.TA0000,AI Model Access,AML.T0044,Full AI Model Access
AML.TA0000,AI Model Access,AML.T0050,Command and Scripting Interpreter
AML.TA0000,AI Model Access,AML.T0041,Physical Environment Access
