"technique_id","technique_name","enabled_percentage","enabled_count",count
T1001,"Data Obfuscation",0,0,1
T1003,"OS Credential Dumping",0,0,46
"T1003.001","LSASS Memory",0,0,11
"T1003.002","Security Account Manager",0,0,8
"T1003.003",NTDS,0,0,6
"T1003.004","LSA Secrets",0,0,1
"T1003.005","Cached Domain Credentials",0,0,1
"T1003.006",DCSync,0,0,3
"T1003.008","/etc/passwd and /etc/shadow",0,0,3
T1005,"Data from Local System",0,0,6
T1007,"System Service Discovery",0,0,3
T1008,"Fallback Channels",0,0,1
T1010,"Application Window Discovery",0,0,1
T1012,"Query Registry",0,0,12
"T1012,","",0,0,1
T1014,Rootkit,0,0,5
T1016,"System Network Configuration Discovery",0,0,11
"T1016.001","Internet Connection Discovery",0,0,1
T1018,"Remote System Discovery",0,0,21
T1020,"Automated Exfiltration",0,0,3
"T1020.001","Traffic Duplication",0,0,1
T1021,"Remote Services",0,0,66
"T1021.001","Remote Desktop Protocol",0,0,17
"T1021.002","SMB/Windows Admin Shares",0,0,12
"T1021.003","Distributed Component Object Model",0,0,10
"T1021.004",SSH,0,0,7
"T1021.006","Windows Remote Management",0,0,9
"T1021.007","Cloud Services",0,0,4
T1025,"Data from Removable Media",0,0,3
T1026,"",0,0,1
T1027,"Obfuscated Files or Information",0,0,17
"T1027.004","Compile After Delivery",0,0,1
"T1027.005","Indicator Removal from Tools",0,0,2
"T1027.010","Command Obfuscation",0,0,1
"T1027.011","Fileless Storage",0,0,3
"T1027.013","Encrypted/Encoded File",0,0,1
T1029,"Scheduled Transfer",0,0,1
T1030,"Data Transfer Size Limits",0,0,5
T1033,"System Owner/User Discovery",0,0,16
T1035,"",0,0,1
T1036,Masquerading,0,0,32
"T1036.002","Right-to-Left Override",0,0,2
"T1036.003","Rename Legitimate Utilities",0,0,10
"T1036.004","Masquerade Task or Service",0,0,1
"T1036.005","Match Legitimate Resource Name or Location",0,0,6
"T1036.008","Masquerade File Type",0,0,2
"T1036.009","Break Process Trees",0,0,2
T1037,"Boot or Logon Initialization Scripts",0,0,2
"T1037.001","Logon Script (Windows)",0,0,1
"T1037.004","RC Scripts",0,0,1
T1039,"Data from Network Shared Drive",0,0,1
T1040,"Network Sniffing",0,0,4
T1041,"Exfiltration Over C2 Channel",0,0,11
T1043,"",0,0,1
T1046,"Network Service Discovery",0,0,12
T1047,"Windows Management Instrumentation",0,0,19
T1048,"Exfiltration Over Alternative Protocol",0,0,18
"T1048.003","Exfiltration Over Unencrypted Non-C2 Protocol",0,0,10
T1049,"System Network Connections Discovery",0,0,9
T1053,"Scheduled Task/Job",0,0,52
"T1053.002",At,0,0,4
"T1053.003",Cron,0,0,10
"T1053.005","Scheduled Task",0,0,23
"T1053.006","Systemd Timers",0,0,4
"T1053.007","Container Orchestration Job",0,0,2
T1054,"",0,0,1
T1055,"Process Injection",0,0,38
"T1055.001","Dynamic-link Library Injection",0,0,3
"T1055.002","Portable Executable Injection",0,0,4
"T1055.011","Extra Window Memory Injection",0,0,1
T1056,"Input Capture",0,0,1
"T1056.002","GUI Input Capture",0,0,1
T1057,"Process Discovery",0,0,4
T1059,"Command and Scripting Interpreter",0,0,124
"T1059.001",PowerShell,0,0,57
"T1059.002",AppleScript,0,0,1
"T1059.003","Windows Command Shell",0,0,14
"T1059.004","Unix Shell",0,0,6
"T1059.005","Visual Basic",0,0,7
"T1059.007",JavaScript,0,0,4
"T1059.009","Cloud API",0,0,1
T1065,"",0,0,2
T1066,"",0,0,1
T1068,"Exploitation for Privilege Escalation",0,0,20
T1069,"Permission Groups Discovery",0,0,34
"T1069.001","Local Groups",0,0,14
"T1069.002","Domain Groups",0,0,21
"T1069.003","Cloud Groups",0,0,2
T1070,"Indicator Removal",0,0,42
"T1070.001","Clear Windows Event Logs",0,0,5
"T1070.003","Clear Command History",0,0,2
"T1070.004","File Deletion",0,0,15
"T1070.005","Network Share Connection Removal",0,0,1
"T1070.006",Timestomp,0,0,1
"T1070.008","Clear Mailbox Data",0,0,7
T1071,"Application Layer Protocol",0,0,32
"T1071.001","Web Protocols",0,0,14
"T1071.002","File Transfer Protocols",0,0,1
"T1071.003","Mail Protocols",0,0,3
"T1071.004",DNS,0,0,9
T1072,"Software Deployment Tools",0,0,5
T1074,"Data Staged",0,0,2
"T1074.001","Local Data Staging",0,0,1
T1075,"",0,0,1
T1078,"Valid Accounts",0,0,78
"T1078.001","Default Accounts",0,0,3
"T1078.002","Domain Accounts",0,0,6
"T1078.003","Local Accounts",0,0,5
"T1078.004","Cloud Accounts",0,0,23
T1082,"System Information Discovery",0,0,18
T1083,"File and Directory Discovery",0,0,5
T1087,"Account Discovery",0,0,46
"T1087.001","Local Account",0,0,14
"T1087.002","Domain Account",0,0,27
"T1087.004","Cloud Account",0,0,4
T1089,"",0,0,2
T1090,Proxy,0,0,10
"T1090.001","Internal Proxy",0,0,2
"T1090.002","External Proxy",0,0,1
"T1090.003","Multi-hop Proxy",0,0,2
T1091,"Replication Through Removable Media",0,0,4
T1095,"Non-Application Layer Protocol",0,0,3
T1098,"Account Manipulation",0,0,65
"T1098.001","Additional Cloud Credentials",0,0,2
"T1098.002","Additional Email Delegate Permissions",0,0,6
"T1098.003","Additional Cloud Roles",0,0,19
"T1098.004","SSH Authorized Keys",0,0,4
"T1098.005","Device Registration",0,0,6
T1102,"Web Service",0,0,7
"T1102.002","Bidirectional Communication",0,0,2
T1105,"Ingress Tool Transfer",0,0,41
T1110,"Brute Force",0,0,75
"T1110.001","Password Guessing",0,0,11
"T1110.003","Password Spraying",0,0,40
"T1110.004","Credential Stuffing",0,0,12
T1112,"Modify Registry",0,0,78
"T1112,","",0,0,1
T1113,"Screen Capture",0,0,5
T1114,"Email Collection",0,0,26
"T1114.001","Local Email Collection",0,0,6
"T1114.002","Remote Email Collection",0,0,11
"T1114.003","Email Forwarding Rule",0,0,6
T1115,"Clipboard Data",0,0,4
T1119,"Automated Collection",0,0,4
T1123,"Audio Capture",0,0,3
T1124,"System Time Discovery",0,0,2
T1127,"Trusted Developer Utilities Proxy Execution",0,0,8
"T1127.001",MSBuild,0,0,4
T1129,"Shared Modules",0,0,1
T1133,"External Remote Services",0,0,35
T1134,"Access Token Manipulation",0,0,14
"T1134.001","Token Impersonation/Theft",0,0,4
"T1134.002","Create Process with Token",0,0,1
"T1134.004","Parent PID Spoofing",0,0,2
"T1134.005","SID-History Injection",0,0,4
T1135,"Network Share Discovery",0,0,7
T1136,"Create Account",0,0,36
"T1136.001","Local Account",0,0,13
"T1136.002","Domain Account",0,0,4
"T1136.003","Cloud Account",0,0,19
T1137,"Office Application Startup",0,0,3
T1140,"Deobfuscate/Decode Files or Information",0,0,2
T1172,"",0,0,1
T1175,"",0,0,1
T1176,"Software Extensions",0,0,1
"T1176.001","Browser Extensions",0,0,1
T1185,"Browser Session Hijacking",0,0,9
T1187,"Forced Authentication",0,0,5
T1189,"Drive-by Compromise",0,0,2
T1190,"Exploit Public-Facing Application",0,0,98
T1195,"Supply Chain Compromise",0,0,24
"T1195.002","Compromise Software Supply Chain",0,0,4
T1197,"BITS Jobs",0,0,5
T1199,"Trusted Relationship",0,0,1
T1200,"Hardware Additions",0,0,10
T1201,"Password Policy Discovery",0,0,11
T1202,"Indirect Command Execution",0,0,6
T1203,"Exploitation for Client Execution",0,0,11
T1204,"User Execution",0,0,57
"T1204.001","Malicious Link",0,0,2
"T1204.002","Malicious File",0,0,18
"T1204.003","Malicious Image",0,0,10
T1207,"Rogue Domain Controller",0,0,7
T1209,"",0,0,1
T1210,"Exploitation of Remote Services",0,0,11
T1212,"Exploitation for Credential Access",0,0,2
T1213,"Data from Information Repositories",0,0,1
"T1213.002",Sharepoint,0,0,1
T1215,"",0,0,1
T1216,"System Script Proxy Execution",0,0,1
T1218,"System Binary Proxy Execution",0,0,93
"T1218.001","Compiled HTML File",0,0,5
"T1218.002","Control Panel",0,0,1
"T1218.003",CMSTP,0,0,4
"T1218.004",InstallUtil,0,0,6
"T1218.005",Mshta,0,0,12
"T1218.007",Msiexec,0,0,8
"T1218.008",Odbcconf,0,0,3
"T1218.009","Regsvcs/Regasm",0,0,6
"T1218.010",Regsvr32,0,0,6
"T1218.011",Rundll32,0,0,17
"T1218.012",Verclsid,0,0,1
"T1218.013",Mavinject,0,0,1
"T1218.014",MMC,0,0,3
T1219,"Remote Access Tools",0,0,12
T1220,"XSL Script Processing",0,0,3
T1222,"File and Directory Permissions Modification",0,0,27
"T1222.001","Windows File and Directory Permissions Modification",0,0,17
"T1222.002","Linux and Mac File and Directory Permissions Modification",0,0,4
T1482,"Domain Trust Discovery",0,0,13
T1484,"Domain or Tenant Policy Modification",0,0,23
"T1484.001","Group Policy Modification",0,0,8
"T1484.002","Trust Modification",0,0,3
T1485,"Data Destruction",0,0,38
"T1485.001","Lifecycle-Triggered Deletion",0,0,2
T1486,"Data Encrypted for Impact",0,0,9
T1489,"Service Stop",0,0,18
T1490,"Inhibit System Recovery",0,0,17
T1491,Defacement,0,0,2
T1497,"Virtualization/Sandbox Evasion",0,0,10
"T1497.003","Time Based Evasion",0,0,3
T1498,"Network Denial of Service",0,0,7
"T1498.002","Reflection Amplification",0,0,1
T1499,"Endpoint Denial of Service",0,0,5
T150,"",0,0,1
T1505,"Server Software Component",0,0,34
"T1505.001","SQL Stored Procedures",0,0,6
"T1505.003","Web Shell",0,0,15
"T1505.004","IIS Components",0,0,9
"T1505.006","vSphere Installation Bundles",0,0,1
T1518,"Software Discovery",0,0,1
T1526,"Cloud Service Discovery",0,0,8
T1528,"Steal Application Access Token",0,0,8
T1529,"System Shutdown/Reboot",0,0,8
T1530,"Data from Cloud Storage",0,0,10
T1531,"Account Access Removal",0,0,7
T1535,"Unused/Unsupported Cloud Regions",0,0,5
T1537,"Transfer Data to Cloud Account",0,0,7
T1538,"Cloud Service Dashboard",0,0,1
T1539,"Steal Web Session Cookie",0,0,1
T1542,"Pre-OS Boot",0,0,4
"T1542.001","System Firmware",0,0,1
"T1542.003",Bootkit,0,0,1
"T1542.005","TFTP Boot",0,0,1
T1543,"Create or Modify System Process",0,0,32
"T1543.001","Launch Agent",0,0,2
"T1543.003","Windows Service",0,0,19
T1546,"Event Triggered Execution",0,0,26
"T1546.001","Change Default File Association",0,0,2
"T1546.002",Screensaver,0,0,1
"T1546.003","Windows Management Instrumentation Event Subscription",0,0,3
"T1546.004","Unix Shell Configuration Modification",0,0,3
"T1546.008","Accessibility Features",0,0,1
"T1546.011","Application Shimming",0,0,3
"T1546.012","Image File Execution Options Injection",0,0,2
"T1546.015","Component Object Model Hijacking",0,0,3
T1547,"Boot or Logon Autostart Execution",0,0,29
"T1547,","",0,0,1
"T1547.001","Registry Run Keys / Startup Folder",0,0,5
"T1547.003","Time Providers",0,0,1
"T1547.005","Security Support Provider",0,0,1
"T1547.006","Kernel Modules and Extensions",0,0,9
"T1547.008","LSASS Driver",0,0,1
"T1547.010","Port Monitors",0,0,1
"T1547.012","Print Processors",0,0,7
"T1547.014","Active Setup",0,0,2
T1548,"Abuse Elevation Control Mechanism",0,0,70
"T1548.001","Setuid and Setgid",0,0,5
"T1548.002","Bypass User Account Control",0,0,16
"T1548.003","Sudo and Sudo Caching",0,0,37
T1550,"Use Alternate Authentication Material",0,0,11
"T1550.003","Pass the Ticket",0,0,4
"T1550.004","Web Session Cookie",0,0,1
T1552,"Unsecured Credentials",0,0,29
"T1552.001","Credentials In Files",0,0,4
"T1552.002","Credentials in Registry",0,0,3
"T1552.004","Private Keys",0,0,6
"T1552.005","Cloud Instance Metadata API",0,0,1
"T1552.006","Group Policy Preferences",0,0,2
"T1552.007","Container API",0,0,4
T1553,"Subvert Trust Controls",0,0,10
"T1553.003","SIP and Trust Provider Hijacking",0,0,3
"T1553.004","Install Root Certificate",0,0,2
"T1553.005","Mark-of-the-Web Bypass",0,0,5
T1554,"Compromise Host Software Binary",0,0,4
T1555,"Credentials from Password Stores",0,0,12
"T1555.003","Credentials from Web Browsers",0,0,5
"T1555.004","Windows Credential Manager",0,0,1
"T1555.005","Password Managers",0,0,3
T1556,"Modify Authentication Process",0,0,31
"T1556.004","Network Device Authentication",0,0,1
"T1556.006","Multi-Factor Authentication",0,0,11
T1557,"Adversary-in-the-Middle",0,0,9
"T1557.001","LLMNR/NBT-NS Poisoning and SMB Relay",0,0,4
"T1557.002","ARP Cache Poisoning",0,0,3
T1558,"Steal or Forge Kerberos Tickets",0,0,19
"T1558.001","Golden Ticket",0,0,1
"T1558.003",Kerberoasting,0,0,8
"T1558.004","AS-REP Roasting",0,0,6
T1559,"Inter-Process Communication",0,0,7
"T1559.001","Component Object Model",0,0,1
T1560,"Archive Collected Data",0,0,9
"T1560.001","Archive via Utility",0,0,6
T1561,"Disk Wipe",0,0,2
"T1561.002","Disk Structure Wipe",0,0,2
T1562,"Impair Defenses",0,0,173
"T1562.001","Disable or Modify Tools",0,0,96
"T1562.002","Disable Windows Event Logging",0,0,13
"T1562.003","Impair Command History Logging",0,0,2
"T1562.004","Disable or Modify System Firewall",0,0,12
"T1562.006","Indicator Blocking",0,0,2
"T1562.007","Disable or Modify Cloud Firewall",0,0,7
"T1562.008","Disable or Modify Cloud Logs",0,0,19
"T1562.012","Disable or Modify Linux Audit System",0,0,3
T1563,"Remote Service Session Hijacking",0,0,2
"T1563.002","RDP Hijacking",0,0,2
T1564,"Hide Artifacts",0,0,23
"T1564.001","Hidden Files and Directories",0,0,1
"T1564.003","Hidden Window",0,0,3
"T1564.004","NTFS File Attributes",0,0,3
"T1564.006","Run Virtual Instance",0,0,1
"T1564.008","Email Hiding Rules",0,0,3
T1565,"Data Manipulation",0,0,1
"T1565.001","Stored Data Manipulation",0,0,1
T1566,Phishing,0,0,48
"T1566.001","Spearphishing Attachment",0,0,30
"T1566.002","Spearphishing Link",0,0,9
T1567,"Exfiltration Over Web Service",0,0,14
"T1567.002","Exfiltration to Cloud Storage",0,0,4
T1568,"Dynamic Resolution",0,0,2
"T1568.002","Domain Generation Algorithms",0,0,2
T1569,"System Services",0,0,12
"T1569.002","Service Execution",0,0,11
T1571,"Non-Standard Port",0,0,4
T1572,"Protocol Tunneling",0,0,6
T1573,"Encrypted Channel",0,0,7
"T1573.002","Asymmetric Cryptography",0,0,5
T1574,"Hijack Execution Flow",0,0,27
"T1574.001",DLL,0,0,15
"T1574.006","Dynamic Linker Hijacking",0,0,5
"T1574.009","Path Interception by Unquoted Path",0,0,1
"T1574.011","Services Registry Permissions Weakness",0,0,2
"T1574.014",AppDomainManager,0,0,1
T1578,"Modify Cloud Compute Infrastructure",0,0,1
"T1578.005","Modify Cloud Compute Configurations",0,0,1
T1580,"Cloud Infrastructure Discovery",0,0,5
T1583,"Acquire Infrastructure",0,0,1
"T1583.006","Web Services",0,0,1
T1586,"Compromise Accounts",0,0,36
"T1586.003","Cloud Accounts",0,0,35
T1587,"Develop Capabilities",0,0,3
"T1587.001",Malware,0,0,1
"T1587.002","Code Signing Certificates",0,0,1
"T1587.003","Digital Certificates",0,0,1
T1588,"Obtain Capabilities",0,0,5
"T1588.002",Tool,0,0,4
"T1588.004","Digital Certificates",0,0,1
T1589,"Gather Victim Identity Information",0,0,3
"T1589.001",Credentials,0,0,2
"T1589.002","Email Addresses",0,0,1
T1590,"Gather Victim Network Information",0,0,6
"T1590.001","Domain Properties",0,0,1
"T1590.002",DNS,0,0,1
"T1590.005","IP Addresses",0,0,4
T1592,"Gather Victim Host Information",0,0,5
"T1592.001",Hardware,0,0,1
T1595,"Active Scanning",0,0,8
"T1595.001","Scanning IP Blocks",0,0,1
"T1595.002","Vulnerability Scanning",0,0,5
T1598,"Phishing for Information",0,0,2
"T1598.002","Spearphishing Attachment",0,0,1
T1601,"Modify System Image",0,0,1
"T1601.001","Patch System Image",0,0,1
T1611,"Escape to Host",0,0,1
T1621,"Multi-Factor Authentication Request Generation",0,0,18
T1647,"Plist File Modification",0,0,1
T1649,"Steal or Forge Authentication Certificates",0,0,17
T1654,"Log Enumeration",0,0,2
T1673,"Virtual Machine Discovery",0,0,2
