group_name,technique_id
APT38,T1486  T1033  T1112  T1049  T1070.004  T1056.001  T1518.001  T1543.003  T1189  T1083  T1059.003  T1059.005  T1529  T1071.001  T1105  T1562.003  T1027.002  T1217  T1070.001  T1070.006  T1485  T1110  T1135  T1082  T1565.002  T1561.002  T1053.005  T1588.002  T1505.003  T1115  T1562.004  T1218.011  T1565.003  T1106  T1218.001  T1204.002  T1565.001  T1005  T1059.001  T1053.003  T1566.001  T1569.002  T1057  T1013
Indrik Spider,T1003.001  T1136  T1036.005  T1007  T1070.001  T1562.001  T1074.001  T1059.001  T1078.002  T1059.003  T1484.001  T1047  T1486  T1018  T1059.007  T1105  T1489  T1204.002  T1584.004
NEODYMIUM,
Elderwood,T1027  T1204.002  T1566.002  T1566.001  T1204.001  T1189  T1203  T1105  T1027.002  T1195
SideCopy,T1614  T1518.001  T1584.001  T1105  T1016  T1608.001  T1106  T1059.005  T1518  T1566.001  T1574.002  T1204.002  T1082  T1598.002  T1036.005  T1218.005
GALLIUM,T1059.003  T1003.002  T1078  T1053.005  T1027  T1553.002  T1041  T1005  T1574.002  T1588.002  T1047  T1136.002  T1583.004  T1133  T1027.002  T1505.003  T1003.001  T1560.001  T1059.001  T1570  T1027.005  T1090.002  T1049  T1074.001  T1033  T1190  T1016  T1105  T1018  T1550.002  T1036.003  T1002
APT17,T1583.006  T1585
APT3,T1053.005  T1104  T1110.002  T1564.003  T1555.003  T1059.003  T1016  T1049  T1090.002  T1218.011  T1027  T1566.002  T1098  T1204.001  T1041  T1552.001  T1074.001  T1078.002  T1005  T1203  T1021.002  T1574.002  T1087.001  T1070.004  T1083  T1546.008  T1560.001  T1082  T1059.001  T1543.003  T1003.001  T1547.001  T1021.001  T1057  T1095  T1069  T1018  T1056.001  T1027.002  T1136.001  T1105  T1033  T1027.005  T1065  T1043  T1108  T1064  T1061
GCMAN,T1021.005  T1021.004
Kimsuky,T1005  T1587.001  T1021.001  T1585.002  T1204.002  T1040  T1566.002  T1588.002  T1078.003  T1140  T1608.001  T1105  T1587  T1567.002  T1553.002  T1036.004  T1102.002  T1204.001  T1534  T1190  T1593.001  T1589.003  T1218.011  T1564.002  T1176  T1070.004  T1219  T1583.004  T1111  T1594  T1059.003  T1583.001  T1012  T1591  T1071.001  T1585.001  T1136.001  T1007  T1586.002  T1560.003  T1070.006  T1598.003  T1550.002  T1557  T1518.001  T1218.005  T1041  T1036  T1133  T1082  T1584.001  T1589.002  T1059.007  T1027  T1074.001  T1071.003  T1056.001  T1027.002  T1552.001  T1560.001  T1016  T1555.003  T1546.001  T1566.001  T1057  T1055  T1112  T1059.001  T1562.004  T1588.005  T1218.010  T1547.001  T1562.001  T1543.003  T1583.006  T1083  T1564.003  T1053.005  T1036.005  T1593.002  T1055.012  T1114.003  T1071.002  T1003.001  T1059.005  T1098  T1059.006  T1505.003  T1114.002
EXOTIC LILY,T1566.003  T1585.001  T1566.001  T1203  T1566.002  T1204.002  T1585.002  T1102  T1594  T1204.001  T1597  T1583.001  T1593.001  T1589.002  T1608.001
admin@338,T1566.001  T1016  T1036.005  T1083  T1069.001  T1049  T1087.001  T1203  T1007  T1204.002  T1082  T1059.003
Patchwork,T1059.005  T1560  T1083  T1553.002  T1574.002  T1112  T1197  T1027.005  T1555.003  T1053.005  T1132.001  T1055.012  T1021.001  T1547.001  T1074.001  T1036.005  T1566.001  T1027.010  T1588.002  T1189  T1204.001  T1518.001  T1203  T1027.002  T1033  T1005  T1204.002  T1587.002  T1070.004  T1119  T1102.001  T1059.003  T1027.001  T1548.002  T1059.001  T1598.003  T1105  T1566.002  T1082  T1559.002  T1064
APT41,T1078  T1195.002  T1059.001  T1014  T1036.005  T1543.003  T1071.002  T1553.002  T1588.002  T1098  T1021.002  T1136.001  T1542.003  T1071.001  T1070.001  T1135  T1480.001  T1005  T1133  T1070.004  T1566.001  T1053.005  T1547.001  T1546.008  T1110.002  T1574.006  T1059.003  T1568.002  T1569.002  T1071.004  T1046  T1560.001  T1218.011  T1102.001  T1008  T1496  T1049  T1059.004  T1486  T1574.002  T1016  T1033  T1105  T1203  T1218.001  T1112  T1090  T1003.001  T1197  T1083  T1055  T1021.001  T1190  T1027  T1104  T1047  T1056.001  T1070.003  T1036.004  T1574.001
Dragonfly,T1560  T1113  T1564.002  T1505.003  T1204.002  T1591.002  T1078  T1016  T1584.004  T1083  T1136.001  T1221  T1203  T1110.002  T1608.004  T1562.004  T1012  T1566.001  T1189  T1583.001  T1003.002  T1598.002  T1070.001  T1005  T1070.004  T1059  T1112  T1588.002  T1195.002  T1036  T1003.003  T1098  T1583.003  T1059.003  T1071  T1598.003  T1053.005  T1069.002  T1114.002  T1595.002  T1547.001  T1105  T1133  T1003.004  T1190  T1135  T1110  T1021.001  T1187  T1033  T1074.001  T1059.001  T1210  T1059.006  T1018  T1087.002  T1547.009  T1566  T1086  T1135  T1043  T1100  T1064  T1076  T1136  T1070  T1114  T1133  T1036  T1187  T1113  T1003  T1107  T1053  T1089  T1110  T1105
Evilnum,T1497.001  T1219  T1539  T1566.002  T1548.002  T1070.004  T1574.001  T1204.001  T1555  T1105  T1059.007
Gorgon Group,T1055.012  T1140  T1106  T1547.001  T1059.001  T1059.003  T1105  T1566.001  T1564.003  T1055.002  T1562.001  T1112  T1547.009  T1204.002  T1588.002  T1059.005  T1065
menuPass,T1018  T1047  T1036  T1070.004  T1046  T1049  T1560.001  T1566.001  T1105  T1588.002  T1204.002  T1090.002  T1078  T1016  T1568.001  T1036.003  T1056.001  T1087.002  T1003.003  T1218.004  T1106  T1003.002  T1027  T1199  T1190  T1074.002  T1070.003  T1140  T1553.002  T1053.005  T1055.012  T1074.001  T1021.001  T1039  T1003.004  T1083  T1036.005  T1574.002  T1560  T1059.003  T1005  T1059.001  T1210  T1021.004  T1119  T1583.001  T1574.001  T1064
Night Dragon,T1027.002  T1566.002  T1043  T1074.002  T1550.002  T1003.002  T1133  T1562.001  T1027  T1204.001  T1078  T1071.001  T1219  T1190  T1587.001  T1588.002
