TA0043,TA0042,TA0001,TA0002,TA0003,TA0004,TA0005,TA0006,TA0007,TA0008,TA0009,TA0011,TA0010,TA0040
T1595,T1650,T1659,T1651,T1098,T1548,T1548,T1557,T1087,T1210,T1557,T1071,T1020,T1531
T1592,T1583,T1189,T1059,T1197,T1134,T1134,T1110,T1010,T1534,T1560,T1092,T1030,T1485
T1589,T1586,T1190,T1609,T1547,T1098,T1197,T1555,T1217,T1570,T1123,T1659,T1048,T1486
T1590,T1584,T1133,T1610,T1037,T1547,T1612,T1212,T1580,T1563,T1119,T1132,T1041,T1565
T1591,T1587,T1200,T1675,T1671,T1037,T1622,T1187,T1538,T1021,T1185,T1001,T1011,T1491
T1598,T1585,T1566,T1203,T1554,T1543,T1140,T1606,T1526,T1091,T1115,T1568,T1052,T1561
T1597,T1588,T1091,T1674,T1136,T1484,T1610,T1056,T1619,T1072,T1530,T1573,T1567,T1667
T1596,T1608,T1195,T1559,T1543,T1611,T1006,T1556,T1613,T1080,T1602,T1008,T1029,T1499
T1593,,T1199,T1106,T1546,T1546,T1484,T1111,T1622,T1550,T1213,T1665,T1537,T1657
T1594,,T1078,T1053,T1668,T1068,T1672,T1621,T1652,,T1005,T1105,,T1495
,,T1669,T1648,T1133,T1574,T1480,T1040,T1482,,T1039,T1104,,T1490
,,,T1129,T1574,T1055,T1211,T1003,T1083,,T1025,T1095,,T1498
,,,T1072,T1525,T1053,T1222,T1528,T1615,,T1074,T1571,,T1496
,,,T1569,T1556,T1078,T1564,T1649,T1654,,T1114,T1572,,T1489
,,,T1204,T1112,,T1574,T1558,T1046,,T1056,T1090,,T1529
,,,T1047,T1137,,T1562,T1539,T1135,,T1113,T1219,,
,,,,T1653,,T1656,T1552,T1040,,T1125,T1205,,
,,,,T1542,,T1070,,T1201,,,T1102,,
,,,,T1053,,T1202,,T1120,,,,,
,,,,T1505,,T1036,,T1069,,,,,
,,,,T1176,,T1556,,T1057,,,,,
,,,,T1205,,T1578,,T1012,,,,,
,,,,T1078,,T1666,,T1018,,,,,
,,,,,,T1112,,T1518,,,,,
,,,,,,T1601,,T1082,,,,,
,,,,,,T1599,,T1614,,,,,
,,,,,,T1027,,T1016,,,,,
,,,,,,T1647,,T1049,,,,,
,,,,,,T1542,,T1033,,,,,
,,,,,,T1055,,T1007,,,,,
,,,,,,T1620,,T1124,,,,,
,,,,,,T1207,,T1673,,,,,
,,,,,,T1014,,T1497,,,,,
,,,,,,T1553,,,,,,,
,,,,,,T1218,,,,,,,
,,,,,,T1216,,,,,,,
,,,,,,T1221,,,,,,,
,,,,,,T1205,,,,,,,
,,,,,,T1127,,,,,,,
,,,,,,T1535,,,,,,,
,,,,,,T1550,,,,,,,
,,,,,,T1078,,,,,,,
,,,,,,T1497,,,,,,,
,,,,,,T1600,,,,,,,
,,,,,,T1220,,,,,,,
