"rule_name","mitre_matrix","mitre_tactic","mitre_tactic_display","mitre_technique","mitre_technique_display","mitre_threat_groups","_timediff"
"Network - Excessive HTTP Failure Responses - Rule","Enterprise ATT&CK
Enterprise ATT&CK","
TA0001
TA0006","Initial Access
Credential Access","
T1190
T1110","Exploit Public-Facing Application
Brute Force","APT3
APT33
APT41
Axiom
Dragonfly 2.0
Lazarus Group
Leafminer
Night Dragon
OilRig
Soft Cell
Turla",
"ESCU - Detect Spike in Security Group Activity - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0006
TA0002","Credential Access
Execution",None,None,"",
"Access - Geographically Improbable Access Detected - Rule","Enterprise ATT&CK
Enterprise ATT&CK","
TA0001
TA0004","Initial Access
Privilege Escalation","
T1078","Valid Accounts","APT18
APT28
APT3
APT32
APT33
APT39
APT41
Carbanak
Dragonfly 2.0
FIN10
FIN4
FIN5
FIN6
FIN8
Leviathan
Night Dragon
OilRig
PittyTiger
Soft Cell
Stolen Pencil
Suckfly
TEMP.Veles
Threat Group-1314
Threat Group-3390
menuPass",
"ESCU - Unusually Long Command Line - MLTK - Rule","Enterprise ATT&CK",TA0002,Execution,"
T1059","Command-Line Interface","APT1
APT18
APT28
APT3
APT32
APT37
APT38
APT41
BRONZE BUTLER
Cobalt Group
Dragonfly 2.0
FIN7
FIN8
Gorgon Group
Honeybee
Ke3chang
Lazarus Group
Leviathan
Magic Hound
MuddyWater
OilRig
Patchwork
Rancor
Silence
Soft Cell
Sowbug
Suckfly
Threat Group-1314
Threat Group-3390
Turla
admin@338
menuPass",
"ESCU - Deleting Shadow Copies - Rule","Enterprise ATT&CK",TA0002,Execution,"
T1107
T1059","File Deletion
Command-Line Interface","APT1
APT18
APT28
APT29
APT3
APT32
APT37
APT38
APT41
BRONZE BUTLER
Cobalt Group
Dragonfly 2.0
FIN10
FIN5
FIN7
FIN8
Gorgon Group
Group5
Honeybee
Ke3chang
Kimsuky
Lazarus Group
Leviathan
Magic Hound
MuddyWater
OilRig
Patchwork
Rancor
Silence
Soft Cell
Sowbug
Suckfly
TEMP.Veles
The White Company
Threat Group-1314
Threat Group-3390
Turla
admin@338
menuPass",
"ESCU - Registry Keys Used For Privilege Escalation - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0004
TA0003","Privilege Escalation
Persistence",T1015,"Accessibility Features","APT29
APT3
APT41
Axiom
Deep Panda",
"ESCU - Remote Desktop Network Bruteforce - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0006
TA0008","Credential Access
Lateral Movement",T1076,"Remote Desktop Protocol","APT1
APT3
APT39
APT41
Axiom
Cobalt Group
Dragonfly 2.0
FIN10
FIN6
FIN8
Lazarus Group
Leviathan
OilRig
Patchwork
Stolen Pencil
TEMP.Veles
menuPass",
"ESCU - Detect Spike in blocked Outbound Traffic from your AWS - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0010
TA0011","Exfiltration
Command and Control",None,None,"",
"ESCU - Suspicious writes to windows Recycle Bin - Rule","Enterprise ATT&CK",TA0009,Collection,T1074,"Data Staged","APT28
APT3
Dragonfly 2.0
FIN5
FIN6
FIN8
Honeybee
Lazarus Group
Leviathan
Machete
Night Dragon
Patchwork
Soft Cell
TEMP.Veles
Threat Group-3390
menuPass",
"ESCU - Detect Unauthorized Assets by MAC address - Rule","Enterprise ATT&CK",TA0005,"Defense Evasion","
T1200","Hardware Additions","",
"ESCU - Scheduled tasks used in BadRabbit ransomware - Rule","Enterprise ATT&CK
Enterprise ATT&CK
Enterprise ATT&CK","TA0003
TA0008
TA0002","Persistence
Lateral Movement
Execution",T1053,"Scheduled Task","APT18
APT29
APT3
APT32
APT33
APT39
APT41
BRONZE BUTLER
Cobalt Group
Dragonfly 2.0
FIN10
FIN6
FIN7
FIN8
Machete
OilRig
Patchwork
Rancor
Silence
Soft Cell
Stealth Falcon
TEMP.Veles
Threat Group-3390
menuPass",
"ESCU - Spike in File Writes - Rule","Enterprise ATT&CK",TA0002,Execution,"
TA0002",Execution,"",
"ESCU - Processes launching netsh - Rule","Enterprise ATT&CK
Enterprise ATT&CK
Enterprise ATT&CK","TA0002
TA0003
TA0005","Execution
Persistence
Defense Evasion","T1059
T1089","Command-Line Interface
Disabling Security Tools","APT1
APT18
APT28
APT3
APT32
APT37
APT38
APT41
BRONZE BUTLER
Carbanak
Cobalt Group
Dragonfly 2.0
FIN7
FIN8
Gorgon Group
Honeybee
Ke3chang
Kimsuky
Lazarus Group
Leviathan
Magic Hound
MuddyWater
Night Dragon
OilRig
Patchwork
Putter Panda
Rancor
Silence
Soft Cell
Sowbug
Suckfly
Threat Group-1314
Threat Group-3390
Turla
admin@338
menuPass",
"ESCU - Detect web traffic to dynamic domain providers - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0011
TA0005","Command and Control
Defense Evasion","T1102
T1041","Web Service
Exfiltration Over Command and Control Channel","APT12
APT3
APT32
APT37
APT41
BRONZE BUTLER
Carbanak
FIN6
FIN7
Gamaredon Group
Ke3chang
Kimsuky
Lazarus Group
Leviathan
Magic Hound
Patchwork
RTM
Soft Cell
Stealth Falcon
Turla",
"ESCU - Detect processes used for System Network Configuration Discovery - Rule","Enterprise ATT&CK",TA0002,Execution,"
T1016","System Network Configuration Discovery","APT1
APT19
APT3
APT32
APT39
APT41
Darkhotel
Dragonfly 2.0
Ke3chang
Lazarus Group
Magic Hound
MuddyWater
Naikon
OilRig
Soft Cell
Stealth Falcon
Threat Group-3390
Turla
admin@338
menuPass",
"ESCU - Detect Mimikatz Via PowerShell And EventCode 4663 - Rule","Enterprise ATT&CK",TA0006,"Credential Access",T1003,"Credential Dumping","APT1
APT28
APT3
APT32
APT33
APT37
APT39
APT41
Axiom
BRONZE BUTLER
Cleaver
Dragonfly 2.0
FIN5
FIN6
FIN8
Ke3chang
Lazarus Group
Leafminer
Leviathan
Magic Hound
Molerats
MuddyWater
Night Dragon
OilRig
PLATINUM
Patchwork
Poseidon Group
Soft Cell
Sowbug
Stealth Falcon
Stolen Pencil
Strider
Suckfly
TEMP.Veles
Threat Group-3390
menuPass",
"ESCU - Create local admin accounts using net.exe - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0002
TA0003","Execution
Persistence",T1059,"Command-Line Interface","APT1
APT18
APT28
APT3
APT32
APT37
APT38
APT41
BRONZE BUTLER
Cobalt Group
Dragonfly 2.0
FIN7
FIN8
Gorgon Group
Honeybee
Ke3chang
Lazarus Group
Leviathan
Magic Hound
MuddyWater
OilRig
Patchwork
Rancor
Silence
Soft Cell
Sowbug
Suckfly
Threat Group-1314
Threat Group-3390
Turla
admin@338
menuPass",
"Web - Abnormally High Number of HTTP Method Events By Src - Rule","Enterprise ATT&CK
Enterprise ATT&CK","
TA0001
TA0006","Initial Access
Credential Access","
T1190
T1110","Exploit Public-Facing Application
Brute Force","APT3
APT33
APT41
Axiom
Dragonfly 2.0
Lazarus Group
Leafminer
Night Dragon
OilRig
Soft Cell
Turla",
"ESCU - Reg.exe Manipulating Windows Services Registry Keys - Rule","Enterprise ATT&CK
Enterprise ATT&CK
Enterprise ATT&CK","TA0003
TA0004
TA0005","Persistence
Privilege Escalation
Defense Evasion","T1050
T1031
T1089","New Service
Modify Existing Service
Disabling Security Tools","APT19
APT3
APT32
APT41
Carbanak
Cobalt Group
Dragonfly 2.0
FIN7
Gorgon Group
Honeybee
Ke3chang
Kimsuky
Lazarus Group
Night Dragon
Putter Panda
Threat Group-3390
Tropic Trooper
Turla",
"ESCU - Detect Path Interception By Creation Of program.exe - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0004
TA0003","Privilege Escalation
Persistence",None,None,"",
